loan_amnt,term,int_rate,installment,annual_inc,verification_status,issue_d,loan_status,purpose,title,dti,earliest_cr_line,open_acc,pub_rec,revol_bal,revol_util,total_acc,mort_acc,pub_rec_bankruptcies,sub_grade_a2,sub_grade_a3,sub_grade_a4,sub_grade_a5,sub_grade_b1,sub_grade_b2,sub_grade_b3,sub_grade_b4,sub_grade_b5,sub_grade_c1,sub_grade_c2,sub_grade_c3,sub_grade_c4,sub_grade_c5,sub_grade_d1,sub_grade_d2,sub_grade_d3,sub_grade_d4,sub_grade_d5,sub_grade_e1,sub_grade_e2,sub_grade_e3,sub_grade_e4,sub_grade_e5,sub_grade_f1,sub_grade_f2,sub_grade_f3,sub_grade_f4,sub_grade_f5,sub_grade_g1,sub_grade_g2,sub_grade_g3,sub_grade_g4,sub_grade_g5,home_ownership_mortgage,home_ownership_none,home_ownership_other,home_ownership_own,home_ownership_rent,initial_list_status_w,application_type_individual,application_type_joint
14000.0,60.0,14.49,329.33,80000.0,Source Verified,Oct-2014,Charged Off,debt_consolidation,Debt consolidation,17.04,Jan-1989,10.0,0.0,12223.0,63.7,16.0,2.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False
6050.0,36.0,16.29,213.57,20400.0,Verified,Oct-2014,Fully Paid,debt_consolidation,Debt consolidation,28.08,Mar-2004,11.0,0.0,2577.0,13.3,24.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False
20775.0,36.0,18.24,753.57,65000.0,Source Verified,Oct-2014,Fully Paid,other,Other,15.3,Jun-2008,9.0,0.0,21872.0,36.5,10.0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
6000.0,36.0,13.99,205.04,38848.0,Verified,Apr-2015,Charged Off,credit_card,Credit card refinancing,16.59,Dec-1984,17.0,4.0,6873.0,38.2,29.0,5.0,3.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False
17450.0,36.0,13.11,588.89,65000.0,Not Verified,Mar-2013,Fully Paid,credit_card,Three years to freedom,12.06,Apr-1992,11.0,0.0,30557.0,47.8,31.0,1.0,0.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
16800.0,36.0,7.62,523.52,99000.0,Verified,Oct-2013,Fully Paid,debt_consolidation,Loan/credit card consolidation,16.52,Jan-1991,12.0,0.0,12367.0,40.5,21.0,1.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
12000.0,36.0,12.99,404.27,80000.0,Source Verified,Jun-2016,Fully Paid,debt_consolidation,,23.19,Nov-1997,15.0,1.0,13655.0,68.3,31.0,4.0,1.0,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False
25000.0,36.0,6.99,771.82,175000.0,Verified,Jan-2015,Fully Paid,debt_consolidation,Debt consolidation,13.43,Mar-2000,15.0,0.0,29959.0,67.9,19.0,0.0,0.0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False
10000.0,36.0,14.33,343.39,140000.0,Verified,May-2013,Fully Paid,debt_consolidation,debt consolidation phase 2,19.22,May-2001,19.0,0.0,8810.0,28.9,43.0,6.0,0.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False
1525.0,36.0,9.99,49.21,15000.0,Not Verified,May-2015,Fully Paid,debt_consolidation,Debt consolidation,35.04,Jan-1993,13.0,0.0,11506.0,41.5,29.0,1.0,0.0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False
